OrderID,CustomerName,Address,PaymentStatus,Priority,Notes
ORD100000,Douglas Miller,"0099 Roberts Viaduct, West Lisamouth, OH 81864",,Low,
ORD100001,Joshua Stevens,"453 Alicia Meadows Suite 777, Michaelcyester, TN 07264",,High,urgent
ORD100002,Whitney Jones,"7243 Erik Glens, East Tiffanyshire, WV 63650",Pending,Low,
ORD100003,Jeffrey Fitzpatrick,"36440 Richard Creek Suite 979, Hamiltontown, SC 63434",Fraud Suspected,Low,hold shipment
ORD100004,Mrs. Kristin Collins MD,"985 Ruiz Terrace, Port Lauramouth, NY 18074",Pending,High,manual check needed
ORD100005,Stevey Velazquez,"2050 Arnold Field, Hollyburgh, UT 32541",Paid,Low,
ORD100006,Jeffrey Allen,"486 Miller Radial, Cuevasland, TX 74049",Error,High,wrong zip
ORD100007,Ronald Smith,"4429 Rogers Bypass, Carpenterville, ME 73304",Pending,,hold shipment
ORD100008,Hannah Simmons,"0109 Bautista Mount Suixe 094, Zunigamouth, UT 01661",Paid,Low,hold shipment
ORD100009,Amanda Franklin,"183 Wanda Walk, Port Jonathan, zO 59377",,Normal,
